"house","name","native_or_non_native","species","family","coniferous_not","dbh_out_cm","ht_m","canopy_density_percent","cbh","density_g_cm3","biomass_chave_kg","basal_area_m_2","canopy_width_m","canopy_length_m","crown_area_m2","type","dissemination_area"
"M23","European mountain-ash","non-native","Sorbus aucuparia","Rosaceae","dec",78.27,14.5,65,"2.5",0.55,2537.47814825957,0.481150065227849,11.5,6.3,56.9020969381451,"tree","M2"
"M23","Common juniper","native","Juniperus communis","Cupressaceae","con",12,1.5,95,"0.4",0.45,5.8610758099784,0.0113097335529233,1,1,0.785398163397448,"tree","M2"
"M24","Sitka spruce","native","Picea sitchensis","Pinaceae","con",100,18.8,60,"1.8",0.4,3865.48219016507,0.785398163397448,9.3,13.3,97.1458988306304,"tree","M2"
"M24","Sitka spruce","native","Picea sitchensis","Pinaceae","con",85,72.2,50,"1.5",0.4,10466.0706864883,0.567450173054656,4,6,18.8495559215388,"tree","M2"
"M24","Common fig","non-native","Ficus carica","Moraceae","dec",15,3.5,30,"1.8",0.56,25.6440802653239,0.0176714586764426,3,2.5,5.89048622548086,"tree","M2"
"M31","European plum","non-native","Prunus domestica","Rosaceae","dec",12,2.1,65,"0.6",0.6,10.7780081719224,0.0113097335529233,3.7,4.5,13.0768794205675,"tree","M3"
"M31","Common fig","non-native","Ficus carica","Moraceae","dec",6,0.9,15,"0.5",0.56,1.13903877505355,0.00282743338823081,0.5,0.4,0.15707963267949,"tree","M3"
"M31","Pacific rhododendron","native","Rhododendron macrophyllum","Ericaceae","dec",7,0.9,55,"0.4",0.5,1.37778626745181,0.0038484510006475,2.3,1.8,3.25154839646544,"tree","M3"
"M31","Kiwi","non-native","Actinidia deliciosa","Actinidiaceae","dec",6,2,70,"0",0.41,1.83167587304901,0.00282743338823081,3.5,2.6,7.14712328691678,"tree","M3"
"M31","Smoke tree","non-native","Cotinus coggygria","Anacardiaceae","dec",11,5,75,"0.2",0.56,19.8262155837246,0.00950331777710912,2.7,2.7,5.7255526111674,"tree","M3"
"M31","Japanese cherry","non-native","Prunus serrulata","Rosaceae","dec",4,1.8,50,"0.6",0.56,1.01534502836265,0.00125663706143592,2,1.5,2.35619449019234,"tree","M3"
"M31","European plum","non-native","Prunus domestica","Rosaceae","dec",7,4,55,"0.6",0.6,7.05882817098571,0.0038484510006475,2.6,2.7,5.51349510705009,"tree","M3"
"M41","Japanese maple","non-native","Acer palmatum","Aceraceae","dec",31.61,7,90,"1",0.53,204.824270090469,0.0784763640221239,7.5,6,35.3429173528852,"tree","M4"
"M41","Deodar cedar","non-native","Cedrus deodara","Pinaceae","con",64.4,9,70,"3",0.37,739.376851000828,0.325732892694804,5,5,19.6349540849362,"tree","M4"
"M41","Subalpine fir","native","Abies lasiocarpa","Pinaceae","con",13.66,3.5,40,"40",0.36,13.8795850155316,0.0146551841538045,1.2,2,1.88495559215388,"tree","M4"
"M42","Red cedar","native","Thuja plicata","Cupressaceae","con",76.3,12,70,"1.7",0.32,1183.06944299566,0.457234463386929,4.8,4,15.079644737231,"tree","M4"
"M42","Red cedar","native","Thuja plicata","Cupressaceae","con",73,12,60,"1",0.32,1085.24692051172,0.4185386812745,6.4,5,25.1327412287183,"tree","M4"
"M42","Japanese cherry","non-native","Prunus serrulata","Rosaceae","dec",101.93,7,80,"1.5",0.56,2124.55420950325,0.816007085466474,10,7,54.9778714378214,"tree","M4"
"M42","Red cedar","native","Thuja plicata","Cupressaceae","con",58,10,50,"1.5",0.32,579.766191768101,0.264207942166902,5,5,19.6349540849362,"tree","M4"
"M42","Red cedar","native","Thuja plicata","Cupressaceae","con",39.41,10,30,"2",0.32,272.687483418133,0.121983966522424,4.5,2,7.06858347057703,"tree","M4"
"R11","Katsura","non-native","Cercidiphyllum japonicum","Cercidiphyllaceae","dec",21,7.2,70,"1",0.38,68.4876767668895,0.0346360590058275,6.5,5.3,27.0569667290421,"tree","R1"
"R11","Sawara cypress","non-native","Chamaecyparis pisifera","Cupressaceae","con",37.11,11,80,"1.6",0.39,322.804607022741,0.108161273005894,8.3,6.7,43.6759918665321,"tree","R1"
"R11","Deodar cedar","non-native","Cedrus deodara","Pinaceae","con",108,27.1,75,"1.7",0.37,5948.41343051064,0.916088417786784,15.5,16,194.778744522567,"tree","R1"
"R11","Cherry plum","non-native","Prunus cerasifera","Rosaceae","dec",20.09,7.2,80,"1",0.56,91.7106838104953,0.0316993060472334,5.5,7.2,31.101767270539,"tree","R1"
"R11","Cherry plum","non-native","Prunus cerasifera","Rosaceae","dec",15.29,17.6,95,"2",0.56,128.774642800517,0.0183613602771525,5.3,6,24.9756615960389,"tree","R1"
"R11","Lawson's cypress","non-native","Chamaecyparis lawsoniana","Cupressaceae","con",38,17.6,95,"2",0.41,561.629682870227,0.113411494794592,3,3.1,7.30420291959627,"tree","R1"
"R11","Koreanspice viburnum","non-native","Viburnum carlesii","Adoxaceae","dec",14.24,4.6,40,"1",0.52,28.1408667952776,0.0159261154618142,5.3,4,16.6504410640259,"tree","R1"
"R11","European mountain-ash","non-native","Sorbus aucuparia","Rosaceae","dec",42.48,12.6,50,"3",0.55,671.099416119007,0.141729056991813,6.8,4.5,24.0331837999619,"tree","R1"
"R11","Lawson's cypress","non-native","Chamaecyparis lawsoniana","Cupressaceae","con",37.3,18.8,30,"3",0.41,577.624770473436,0.109271661075324,3,4,9.42477796076938,"tree","R1"
"R11","Lawson's cypress","non-native","Chamaecyparis lawsoniana","Cupressaceae","con",47.3,18.6,60,"1",0.41,908.794497118568,0.175716345698748,5,5,19.6349540849362,"tree","R1"
"R13","Apple","non-native","Malus domestica","Rosaceae","dec",17.9,8.2,70,"2",0.65,96.1324336126147,0.0251649425534176,5.7,5,22.3838476568273,"tree","R1"
"R13","Deodar cedar","non-native","Cedrus deodara","Pinaceae","con",96,27.2,75,"3",0.37,4743.65006650604,0.723822947387088,11.5,11.5,103.868907109313,"tree","R1"
"R13","Bigleaf maple","native","Acer macrophyllum","Aceraceae","dec",120,12.5,60,"3",0.45,4156.20004430009,1.13097335529233,6.8,6.8,36.316811075498,"tree","R1"
"R13","Pacific rhododendron","native","Rhododendron macrophyllum","Ericaceae","dec",15.73,6.3,60,"1.5",0.5,44.7075253303349,0.0194333345224104,5.5,4,17.2787595947439,"tree","R1"
"R13","Flowering dogwood","native","Cornus florida","Cornaceae","dec",11.8,6.3,40,"2",0.63,31.9625554905774,0.0109358840271461,4.8,3.6,13.5716802635079,"tree","R1"
"R13","Japanese maple","non-native","Acer palmatum","Aceraceae","dec",13.5,9.6,60,"2",0.53,52.9683631629017,0.0143138815279185,3.6,4,11.3097335529233,"tree","R1"
"R13","Beaked hazelnut","native","Corylus cornuta","Betulaceae","dec",12.2,8.6,50,"0.3",0.56,41.1994536142646,0.0116898662640076,6.6,4,20.7345115136926,"tree","R1"
"R13","Black locust","non-native","Robinia pseudoacacia","Fabaceae","dec",57,30.8,65,"15",0.73,3757.60732065842,0.255175863287831,10,11,86.3937979737193,"tree","R1"
"R13","Manitoba maple","non-native","Acer negundo","Aceraceae","dec",38,20,50,"13",0.46,711.884544663788,0.113411494794592,15,10,117.809724509617,"tree","R1"
