House;Species;Native;Type;Fruiting;Flowering;Grain
;lovage;non;Plant;n;n;n
;poeny;non;Plant;y;n;n
;ditch lily;non;Plant;n;n;n
;sweet alyssum;non;Plant;y;n;n
;orange coneflower;non;Plant;n;n;n
;zonal geranium;non;Plant;n;n;n
;dense blazing star;non;Plant;n;y;n
;New York aster;non;Plant;n;n;n
;Siebold's plantain lily;non;Plant;n;y;n
;yellow daylily;non;Plant;y;n;n
;glandular cape marigold;non;Plant;y;n;n
;garden snapdragon;non;Plant;y;n;n
;garden dahlia;non;Plant;y;n;n
;sea thrift;non;Plant;y;n;n
;balloon flower;non;Plant;n;n;n
;wax begonia;non;Plant;y;n;n
;Serbian bellflower;non;Plant;y;n;n
;regal geranium;non;Plant;y;n;n
;large-petal globeflower;non;Plant;y;n;n
;false buck'sbeard;non;Plant;n;y;n
;red raspberry;native;Shrub;n;n;n
;red currant;non;Shrub;n;n;n
;multiflora rose;non;Shrub;n;n;n
;pacific rhododendron;native;Shrub;n;n;n
;China rose;non;Shrub;n;n;n
;western red cedar;native;Shrub;n;n;n
;evergreen azalea;non;Shrub;n;n;n
;bigleaf hydrangea;non;Shrub;n;n;n
;English lavender;non;Shrub;n;n;n
;virgin's bower;non;Shrub;n;n;n
M11;seersucker sedge;non;Plant;n;n;y
;British Columbia wild ginger;native;Plant;n;n;n
;common snowberry;native;Plant;n;n;n
;aleutian maidenhair;native;Plant;n;n;n
;sweet alyssum;non;Plant;y;n;n
;woodland strawberry;native;Plant;y;n;n
;Ram's horn;non;Plant;y;n;n
;pregnant onion;non;Plant;n;n;n
;common columbine;native;Plant;n;n;n
;beefsteak plant;non;Plant;n;n;n
;spurge laurel;non;Plant;n;n;n
;agueweed;non;Plant;n;n;n
;plantain lily;non;Plant;n;n;n
;peony;non;Plant;y;n;n
;solomon's seal;native;Plant;n;n;n
;siberian bugloss;non;Plant;y;n;n
;meadow buttercup;non;Plant;n;n;n
;lenten rose;non;Plant;y;n;n
;American beautyberry;non;Plant;n;n;n
;ostrich fern;native;Plant;n;n;n
;cypress spurge;non;Plant;y;n;n
;barrenwort;non;Plant;n;n;n
;fringed loosestrife;non;Plant;n;n;n
;bear's breech;non;Plant;n;n;n
;heavenly bamboo;non;Plant;n;n;n
;paperplant;non;Plant;n;n;n
;bigleaf hydrangea;non;Plant;n;n;n
;bush lily;non;Plant;n;n;n
;spotted dead nettles;non;Plant;n;n;n
;rose campion;non;Plant;n;n;n
;american alumroot;non;Plant;n;n;n
;western blue virginsbower;native;Plant;y;n;n
;bacopa;non;Plant;y;n;n
;oakleaf hydrangea;non;Plant;n;n;n
;hardy fuchsia;non;Plant;n;n;n
;new guinea impatiens;non;Plant;y;n;n
;chives;non;Plant;n;n;n
;cleft phlox;non;Plant;n;n;n
;rocky mountain penstemon;non;Plant;y;n;n
;poppy anemone;non;Plant;y;n;n
;Jacob's ladder;non;Plant;n;n;n
;garden asparagus;non;Plant;n;n;n
;yellow marsh marigold;non;Plant;n;n;n
;ground elders;non;Plant;n;n;n
;cow parsley;non;Plant;n;n;n
;hakone grass;non;Plant;n;n;n
;queen of the prairie;non;Plant;n;n;n
;bloodroot;non;Plant;n;n;n
;goat's beard;native;Plant;n;n;n
;rose of sharon;non;Plant;n;n;n
;culver's root;native;Plant;n;n;n
;leafy spurge;non;Plant;n;n;n
;hart's-tongue fern;non;Plant;n;n;n
;lakeshore sedge;native;Plant;n;n;n
;purple marshlocks;non;Plant;n;n;n
;common primrose;non;Plant;n;n;n
;marguerite daisy;non;Plant;n;n;n
;canadian anemone;native;Plant;y;n;n
;brook saxifrage;native;Plant;y;n;n
;red huckleberry;native;Shrub;n;y;n
;Mexican orange;non;Shrub;n;n;n
;Chinese wisteria;non;Shrub;n;n;n
;multiflora rose;non;Shrub;y;n;n
;Pacific rhododendron;native;Shrub;n;n;n
;Japanese skimmia;non;Shrub;n;n;n
;vine maple;native;Shrub;n;n;n
;common boxwood;non;Shrub;n;n;n
;vasevine;non;Shrub;n;n;n
;evergreen candytuft;non;Shrub;n;n;n
;tree peony;non;Shrub;n;n;n
;virginia sweetspire;non;Shrub;n;n;n
;Chinese clematis;non;Shrub;n;n;n
;common myrtle;non;Shrub;n;n;n
;sweet mock-orange;native;Shrub;n;n;n
;western azalea;non;Shrub;n;n;n
;tea-oil camellia;non;Shrub;n;n;n
;buttonwood;non;Shrub;n;n;n
;japanese camellia;non;Shrub;n;n;n
;smooth hydrangea;non;Shrub;n;n;n
M12;pacific bleeding heart;native;Plant;y;n;n
;crinklerroot;non;Plant;n;n;n
;greater masterwort;non;Plant;n;n;n
;woodland strawberry;native;Plant;n;n;n
;spanish bluebell;non;Plant;n;n;n
;smooth hydrangea;non;Shrub;n;n;n
;Pacific Rhododendron;non;Shrub;n;n;n
;Lewis' mock orange;native;Shrub;n;n;n
;Thuja occcidentalis;native;Shrub;n;n;n
M13;siebold's plantain lily;non;plant;n;n;n
;large bindweed;non;plant;n;n;n
