"house","name","native_or_non_native","type","dissemination_area"
"R12","Japanese yew","non-native","shrub","R1"
"R12","Common lilac","non-native","shrub","R1"
"R12","Chinese wisteria","non-native","shrub","R1"
"R12","Winter creeper","non-native","shrub","R1"
"R13","Norway spruce","non-native","shrub","R1"
"R13","Pacific rhododendron","native","shrub","R1"
"R13","Red cedar","native","shrub","R1"
"R13","False chestnut","non-native","shrub","R1"
"R13","Mexican orange","non-native","shrub","R1"
"R13","Japanese maple","non-native","shrub","R1"
"R13","Pieris japonica","non-native","shrub","R1"
"R13","Japanese skimmia","non-native","shrub","R1"
"R13","Chinese photinia","non-native","shrub","R1"
"R13","Japanese laurel","non-native","shrub","R1"
"R13","Bigleaf hydrangea","non-native","shrub","R1"
"R21","Great laurel","native","shrub","R2"
"R21","Western red cedar","native","shrub","R2"
"R21","Highbush blueberry","native","shrub","R2"
"R21","Evergreen azalea","non-native","shrub","R2"
"R21","Pacific rhododendron","native","shrub","R2"
"R21","Black cherry","non-native","shrub","R2"
"R21","Viburnum tinus","non-native","shrub","R2"
"R22","Old fashioned weigela","non-native","shrub","R2"
"R22","Bigleaf hydrangea","non-native","shrub","R2"
"R22","Blue blossom","non-native","shrub","R2"
"R22","Japanese meadowsweet","non-native","shrub","R2"
"R22","Sweet mock orange","native","shrub","R2"
"R22","Kousa dogwood","non-native","shrub","R2"
"R22","Common lilac","non-native","shrub","R2"
"R22","Siberian dogwood","non-native","shrub","R2"
"R22","Great laurel","native","shrub","R2"
"R22","Smoketree","non-native","shrub","R2"
"R22","Japanese pieris","non-native","shrub","R2"
"R22","Japanese barberry","non-native","shrub","R2"
"R22","Multiflora rose","non-native","shrub","R2"
"R22","Mexican orange","non-native","shrub","R2"
"R22","Koreanspice viburnum","non-native","shrub","R2"
"R22","Western red cedar","native","shrub","R2"
"R23","Myrsine lessertiana","non-native","shrub","R2"
"R23","Hydrangea paniculata","non-native","shrub","R2"
"R23","Prunus caroliniana","non-native","shrub","R2"
"R23","Common lilac","non-native","shrub","R2"
"R23","Syringa villosa","non-native","shrub","R2"
"R23","Common boxwood","non-native","shrub","R2"
"R23","Daphne odora","non-native","shrub","R2"
"R31","Winter jasmine","non-native","shrub","R3"
"R31","Stinking hellebore","non-native","shrub","R3"
"R31","Holly olive","non-native","shrub","R3"
"R31","Panicle hydrangea","non-native","shrub","R3"
"R31","Japanese snowbell","non-native","shrub","R3"
"R31","Pacific rhododendron","native","shrub","R3"
"R31","Scotch heather","non-native","shrub","R3"
"R31","Dappled willow","non-native","shrub","R3"
"R31","Japanese barberry","non-native","shrub","R3"
"R31","English lavender","non-native","shrub","R3"
"R31","Japanese maple","non-native","shrub","R3"
"R31","Common lilac","non-native","shrub","R3"
"R31","Trumpet honeysuckle","non-native","shrub","R3"
"R32","Cherry laurel","non-native","shrub","R3"
"R32","Scotch heather","non-native","shrub","R3"
"R32","China rose","non-native","shrub","R3"
"R32","English holly","non-native","shrub","R3"
"R32","Border forsythia","non-native","shrub","R3"
"R32","Pacific rhododendron","native","shrub","R3"
"R32","Bigleaf hydrangea","non-native","shrub","R3"
"R33","Mountain laurel","non-native","shrub","R3"
"R33","Western red cedar","native","shrub","R3"
"R33","Multiflower rose","non-native","shrub","R3"
"R33","Pacific rhododendron","native","shrub","R3"
"R33","Chaemacyparis pisifera","non-native","shrub","R3"
"R33","Japanese pieris","non-native","shrub","R3"
"R33","Norway spruce","non-native","shrub","R3"
"R33","Winter creeper","non-native","shrub","R3"
"R33","Catawba roseberry","non-native","shrub","R3"
"R33","French rose","non-native","shrub","R3"
"R33","Rhododendron ferrugineum","non-native","shrub","R3"
"R33","Ruby's laciniatus","non-native","shrub","R3"
"R33","Common lilac","non-native","shrub","R3"
"R33","Common boxwood","non-native","shrub","R3"
"R33","Smooth hydrangea","non-native","shrub","R3"
"R33","Arborvitae","non-native","shrub","R3"
"R34","Japanese skimmia","non-native","shrub","R3"
"R34","Highbush blueberry","native","shrub","R3"
