"house","name","native_or_non_native","type","dissemination_area"
"M11","Common columbine","native","plant","M1"
"M11","Beefsteak plant","non-native","plant","M1"
"M11","Spurge laurel","non-native","plant","M1"
"M11","Agueweed","non-native","plant","M1"
"M11","Plantain lily","non-native","plant","M1"
"M11","Peony","non-native","plant","M1"
"M11","Solomon's seal","native","plant","M1"
"M11","Siberian bugloss","non-native","plant","M1"
"M11","Meadow buttercup","non-native","plant","M1"
"M11","Lenten rose","non-native","plant","M1"
"M11","American beautyberry","non-native","plant","M1"
"M11","Ostrich fern","native","plant","M1"
"M11","Cypress spurge","non-native","plant","M1"
"M11","Barrenwort","non-native","plant","M1"
"M11","Fringed loosestrife","non-native","plant","M1"
"M11","Bear's breech","non-native","plant","M1"
"M11","Heavenly bamboo","non-native","plant","M1"
"M11","Paperplant","non-native","plant","M1"
"M11","Bigleaf hydrangea","non-native","plant","M1"
"M11","Bush lily","non-native","plant","M1"
"M11","Spotted dead nettles","non-native","plant","M1"
"M11","Rose campion","non-native","plant","M1"
"M11","American alumroot","non-native","plant","M1"
"M11","Western blue virginsbower","native","plant","M1"
"M11","Bacopa","non-native","plant","M1"
"M11","Oakleaf hydrangea","non-native","plant","M1"
"M11","Hardy fuchsia","non-native","plant","M1"
"M11","New guinea impatiens","non-native","plant","M1"
"M11","Chives","non-native","plant","M1"
"M11","Cleft phlox","non-native","plant","M1"
"M11","Rocky mountain penstemon","non-native","plant","M1"
"M11","Poppy anemone","non-native","plant","M1"
"M11","Jacob's ladder","non-native","plant","M1"
"M11","Garden asparagus","non-native","plant","M1"
"M11","Yellow marsh marigold","non-native","plant","M1"
"M11","Ground elders","non-native","plant","M1"
"M11","Cow parsley","non-native","plant","M1"
"M11","Hakone grass","non-native","plant","M1"
"M11","Queen of the prairie","non-native","plant","M1"
"M11","Bloodroot","non-native","plant","M1"
"M11","Goat's beard","native","plant","M1"
"M11","Rose of sharon","non-native","plant","M1"
"M11","Culver's root","native","plant","M1"
"M11","Leafy spurge","non-native","plant","M1"
"M11","Hart's-tongue fern","non-native","plant","M1"
"M11","Lakeshore sedge","native","plant","M1"
"M11","Purple marshlocks","non-native","plant","M1"
"M11","Common primrose","non-native","plant","M1"
"M11","Marguerite daisy","non-native","plant","M1"
"M11","Canadian anemone","native","plant","M1"
"M11","Brook saxifrage","native","plant","M1"
"M12","Pacific bleeding heart","native","plant","M1"
"M12","Crinklerroot","non-native","plant","M1"
"M12","Greater masterwort","non-native","plant","M1"
"M12","Woodland strawberry","native","plant","M1"
"M12","Spanish bluebell","non-native","plant","M1"
"M13","Siebold's plantain lily","non-native","plant","M1"
"M13","Large bindweed","non-native","plant","M1"
"M14","Busy lizzie","non-native","plant","M1"
"M14","Lady fern","native","plant","M1"
"M14","Common foxglove","non-native","plant","M1"
"M14","Lenten rose","non-native","plant","M1"
"M14","Cornflower","non-native","plant","M1"
"M14","Rhubarb","non-native","plant","M1"
"M14","Spearmint","non-native","plant","M1"
"M14","Rosemint","non-native","plant","M1"
"M14","Creeping jenny","non-native","plant","M1"
"M14","Chives","non-native","plant","M1"
"M14","Sweet william","non-native","plant","M1"
"M14","Strawberry","native","plant","M1"
"M14","Raddish","non-native","plant","M1"
"M14","Tomato","non-native","plant","M1"
"M14","Garden nasturtium","non-native","plant","M1"
"M14","African marigold","non-native","plant","M1"
"M14","Annual honesty","non-native","plant","M1"
"M14","Plantain lily","non-native","plant","M1"
"M14","Common holly lock","non-native","plant","M1"
"M14","August lily","non-native","plant","M1"
"M14","Grapeleaf anemone","non-native","plant","M1"
"M14","Cabbage","non-native","plant","M1"
"M14","Lettuce","non-native","plant","M1"
"M14","Creeping buttercup","non-native","plant","M1"
"M14","Ditch lily","non-native","plant","M1"
"M14","Winter creeper","non-native","plant","M1"
"M14","Japanese meadowsweet","non-native","plant","M1"
"M14","Asian virginsbower","non-native","plant","M1"
"M14","Peruvian lily","non-native","plant","M1"
"M14","Western wallflower","native","plant","M1"
"M14","Cabbage tree","non-native","plant","M1"
"M14","Crevice alumroot","native","plant","M1"
"M14","Zonal geranium","non-native","plant","M1"
"M14","Garden petunia","non-native","plant","M1"
"M14","Basil","non-native","plant","M1"
"M14","Johnny jump up","non-native","plant","M1"
"M14","Hardy fuchsia","non-native","plant","M1"
"M14","Sweet alyssum","non-native","plant","M1"
"M14","Spanish bluebell","non-native","plant","M1"
"M14","Sticky geranium","native","plant","M1"
